name,url,country,region,coordinates,caption,longitude,latitude
Lower Valley of the Omo,http://whc.unesco.org/en/list/17,Ethiopia,Southern Nation Nationalities & Peoples Region,N4 47 60 E35 58 0,"A prehistoric site near Lake Turkana, the lower valley of the Omo is renowned the world over. The discovery of many fossils there, especially ",35.96666666666667,4.8
"Fasil Ghebbi, Gondar Region",http://whc.unesco.org/en/list/19,Ethiopia,Amhara Region,N12 36 24.912 E37 27 58.212,"In the 16th and 17th centuries, the fortress-city of Fasil Ghebbi was the residence of the Ethiopian emperor Fasilides and his successors. Surrounded by a 900-m-long wall, the city contains palaces, churches, monasteries and unique public and private buildings marked by Hindu and Arab influences, subsequently transformed by the Baroque style brought to Gondar by the Jesuit missionaries.",37.46617,12.60692
Ancient City of Damascus,http://whc.unesco.org/en/list/20,Syrian Arab Republic,Administrative District of Damascus,N33 30 41.004 E36 18 23.004,"Founded in the 3rd millennium B.C., Damascus is one of the oldest cities in the Middle East. In the Middle Ages, it was the centre of a flourishing craft industry, specializing in swords and lace. The city has some 125 monuments from different periods of its history – one of the most spectacular is the 8th-century Great Mosque of the Umayyads, built on the site of an Assyrian sanctuary.",36.30639,33.51139
Nahanni National Park,http://whc.unesco.org/en/list/24,Canada,Northwest Territories,N61 32 50 W125 35 22,"Located along the South Nahanni River, one of the most spectacular wild rivers in North America, this park contains deep canyons and huge waterfalls, as well as a unique limestone cave system. The park is also home to animals of the boreal forest, such as wolves, grizzly bears and caribou. Dall's sheep and mountain goats are found in the park's alpine environment.",-124.41055555555556,61.547222222222224
Ancient City of Bosra,http://whc.unesco.org/en/list/22,Syrian Arab Republic,Governorate of Deraa,N32 31 5.016 E36 28 54.012,"Bosra, once the capital of the Roman province of Arabia, was an important stopover on the ancient caravan route to Mecca. A magnificent 2nd-century Roman theatre, early Christian ruins and several mosques are found within its great walls.",36.48167,32.51806
Ancient City of Aleppo,http://whc.unesco.org/en/list/21,Syrian Arab Republic,Aleppo,N36 13 59.988 E37 10 0.012,"Located at the crossroads of several trade routes from the 2nd millennium B.C., Aleppo was ruled successively by the Hittites, Assyrians, Arabs, Mongols, Mamelukes and Ottomans. The 13th-century citadel, 12th-century Great Mosque and various 17th-century madrasas, palaces, caravanserais and hammams all form part of the city's cohesive, unique urban fabric, now threatened by overpopulation.",37.16667,36.23333
Site of Palmyra,http://whc.unesco.org/en/list/23,Syrian Arab Republic,Province of Homs,N34 33 15.012 E38 16 0.012,"An oasis in the Syrian desert, north-east of Damascus, Palmyra contains the monumental ruins of a great city that was one of the most important cultural centres of the ancient world. From the 1st to the 2nd century, the art and architecture of Palmyra, standing at the crossroads of several civilizations, married Graeco-Roman techniques with local traditions and Persian influences.",38.26667,34.55417
Yellowstone National Park,http://whc.unesco.org/en/list/28,United States of America,Northwest corner of the State of Wyoming and relatively small adjacent areas of the States of Montana and Idaho,N44 27 38.016 W110 49 40.008,"The vast natural forest of Yellowstone National Park covers nearly 9,000 km",-109.17222,44.46056
Island of Gorée,http://whc.unesco.org/en/list/26,Senegal,Cape Verde Region,N14 40 1.992 W17 24 2.988,"The island of Gorée lies off the coast of Senegal, opposite Dakar. From the 15th to the 19th century, it was the largest slave-trading centre on the African coast. Ruled in succession by the Portuguese, Dutch, English and French, its architecture is characterized by the contrast between the grim slave-quarters and the elegant houses of the slave traders. Today it continues to serve as a reminder of human exploitation and as a sanctuary for reconciliation.",-16.59917,14.66722
Historic Centre of Kraków,http://whc.unesco.org/en/list/29,Poland,"City and County of Cracow, Lesser Poland (Malopolska) Voivodship",N50 4 0.012 E19 57 34.992,"The historic centre of Cracow, the former capital of Poland, is situated at the foot of the Royal Wawel Castle. The 13th-century merchants' town has Europe's largest market square and numerous historical houses, palaces and churches with their magnificent interiors. Further evidence of the town's fascinating history is provided by the remnants of the 14th-century fortifications and the medieval site of Kazimierz with its ancient synagogues in the southern part of town, Jagellonian University and the Gothic cathedral where the kings of Poland were buried.",19.95972,50.06667
Djoudj National Bird Sanctuary,http://whc.unesco.org/en/list/25,Senegal,Delta of the River Senegal,N16 30 0 W16 10 0.012,"Situated in the Senegal River delta, the Djoudj Sanctuary is a wetland of 16,000 ha, comprising a large lake surrounded by streams, ponds and backwaters. It forms a living but fragile sanctuary for some 1.5 million birds, such as the white pelican, the purple heron, the African spoonbill, the great egret and the cormorant.",-15.83333,16.5
Mesa Verde National Park,http://whc.unesco.org/en/list/27,United States of America,Colorado,N37 15 42 W108 29 8,"A great concentration of ancestral Pueblo Indian dwellings, built from the 6th to the 12th century, can be found on the Mesa Verde plateau in south-west Colorado at an altitude of more than 2,600 m. Some 4,400 sites have been recorded, including villages built on the Mesa top. There are also imposing cliff dwellings, built of stone and comprising more than 100 rooms.",-107.51444444444445,37.26166666666666
Historic Centre of Warsaw,http://whc.unesco.org/en/list/30,Poland,"City and County of Warsaw, Masovian Voivodship",N52 15 59.004 E21 0 42.012,"During the Warsaw Uprising in August 1944, more than 85% of Warsaw's historic centre was destroyed by Nazi troops. After the war, a five-year reconstruction campaign by its citizens resulted in today's meticulous restoration of the Old Town, with its churches, palaces and market-place. It is an outstanding example of a near-total reconstruction of a span of history covering the 13th to the 20th century.",21.01167,52.26639
Auschwitz Birkenau ,http://whc.unesco.org/en/list/31,Poland,"Oswiecim County, Lesser Poland (Malopolska) Voivodship (formerly Bielsko-Biala)",N50 2 20 E19 10 30,"The fortified walls, barbed wire, platforms, barracks, gallows, gas chambers and cremation ovens show the conditions within which the Nazi genocide took place in the former concentration and extermination camp of Auschwitz-Birkenau, the largest in the Third Reich. According to historical investigations, 1.5 million people, among them a great number of Jews, were systematically starved, tortured and murdered in this camp, the symbol of humanity's cruelty to its fellow human beings in the 20th century.",19.175,50.03888888888889
Amphitheatre of El Jem,http://whc.unesco.org/en/list/38,Tunisia,El-Mahdia,N35 17 47.004 E10 42 24.984,"The impressive ruins of the largest colosseum in North Africa, a huge amphitheatre which could hold up to 35,000 spectators, are found in the small village of El Jem. This 3rd-century monument illustrates the grandeur and extent of Imperial Rome.",10.70694,35.29639
Asante Traditional Buildings,http://whc.unesco.org/en/list/35,Ghana,Asante Region,N6 24 4 W1 37 33,"To the north-east of Kumasi, these are the last material remains of the great Asante civilization, which reached its high point in the 18th century. Since the dwellings are made of earth, wood and straw, they are vulnerable to the onslaught of time and weather.",-0.37416666666666665,6.401111111111111
Archaeological Site of Carthage,http://whc.unesco.org/en/list/37,Tunisia,District of Tunis,N36 51 10.008 E10 19 23.988,"Carthage was founded in the 9th century B.C. on the Gulf of Tunis. From the 6th century onwards, it developed into a great trading empire covering much of the Mediterranean and was home to a brilliant civilization. In the course of the long Punic wars, Carthage occupied territories belonging to Rome, which finally destroyed its rival in 146 B.C. A second – Roman – Carthage was then established on the ruins of the first.",10.32333,36.85278
Medina of Tunis,http://whc.unesco.org/en/list/36,Tunisia,Tunis,N36 49 0.012 E10 10 0.012,"Under the Almohads and the Hafsids, from the 12th to the 16th century, Tunis was considered one of the greatest and wealthiest cities in the Islamic world. Some 700 monuments, including palaces, mosques, mausoleums, madrasas and fountains, testify to this remarkable past.",10.16667,36.81667
"Forts and Castles, Volta, Greater Accra, Central and Western Regions",http://whc.unesco.org/en/list/34,Ghana,"Volta, Greater Accra, Central and Western Regions",N5 23 27.708 E0 29 36.996,"The remains of fortified trading-posts, erected between 1482 and 1786, can still be seen along the coast of Ghana between Keta and Beyin. They were links in the trade routes established by the Portuguese in many areas of the world during their era of great maritime exploration.",0.49361,5.39103
Madara Rider,http://whc.unesco.org/en/list/43,Bulgaria,"Village of Madara, Province of Shumen",N43 17 60 E27 8 60,"The Madara Rider, representing the figure of a knight triumphing over a lion, is carved into a 100-m-high cliff near the village of Madara in north-east Bulgaria. Madara was the principal sacred place of the First Bulgarian Empire before Bulgaria’s conversion to Christianity in the 9th century. The inscriptions beside the sculpture tell of events that occurred between AD 705 and 801.",27.15,43.3
Boyana Church,http://whc.unesco.org/en/list/42,Bulgaria,"Boyana district, Sofia",N42 38 60 E23 16 0,"Located on the outskirts of Sofia, Boyana Church consists of three buildings. The eastern church was built in the 10th century, then enlarged at the beginning of the 13th century by Sebastocrator Kaloyan, who ordered a second two storey building to be erected next to it. The frescoes in this second church, painted in 1259, make it one of the most important collections of medieval paintings. The ensemble is completed by a third church, built at the beginning of the 19th century. This site is one of the most complete and perfectly preserved monuments of east European medieval art.",23.266666666666666,42.65
Thracian Tomb of Kazanlak,http://whc.unesco.org/en/list/44,Bulgaria,"Kazanlak, Province of Stara Zagora",N42 37 0 E25 23 60,"Discovered in 1944, this tomb dates from the Hellenistic period, around the end of the 4th century BC. It is located near Seutopolis, the capital city of the Thracian king Seutes III, and is part of a large Thracian necropolis. The tholos has a narrow corridor and a round burial chamber, both decorated with murals representing Thracian burial rituals and culture. These paintings are Bulgaria’s best-preserved artistic masterpieces from the Hellenistic period.",25.4,42.61666666666667
Rock-Hewn Churches of Ivanovo,http://whc.unesco.org/en/list/45,Bulgaria,"Village of Ivanovo, 16 km from the town of Ruse, Province of Ruse",N43 43 0 E25 58 0,"In the valley of the Roussenski Lom River, in north east Bulgaria, a complex of rock-hewn churches, chapels, monasteries and cells developed in the vicinity of the village of Ivanovo. This is where the first hermits had dug out their cells and churches during the 12th century. The 14th-century murals testify to the exceptional skill of the artists belonging to the Tarnovo School of painting.",25.966666666666665,43.71666666666667
Bryggen,http://whc.unesco.org/en/list/59,Norway,"City of Bergen, County of Hordaland",N60 23 49.992 E5 19 23.016,"Bryggen, the old wharf of Bergen, is a reminder of the town’s importance as part of the Hanseatic League’s trading empire from the 14th to the mid-16th century. Many fires, the last in 1955, have ravaged the characteristic  wooden houses of Bryggen. Its rebuilding has traditionally followed old patterns and methods, thus leaving its main structure preserved, which is a relic of an ancient wooden urban structure once common in Northern Europe. Today, some 62 buildings remain of this former townscape.",5.32306,60.39722
Virunga National Park,http://whc.unesco.org/en/list/63,Democratic Republic of the Congo,Province of North-Kivu and Orientale province,N0 55 0 E29 10 0,"Virunga National Park (covering an area of 790,000 ha) comprises an outstanding diversity of habitats, ranging from swamps and steppes to the snowfields of Rwenzori at an altitude of over 5,000 m, and from lava plains to the savannahs on the slopes of volcanoes. Mountain gorillas are found in the park, some 20,000 hippopotamuses live in the rivers and birds from Siberia spend the winter there.",29.166666666666668,0.9166666666666666
Tikal National Park,http://whc.unesco.org/en/list/64,Guatemala,Department of El Peten,N17 13 0 W89 37 0,"In the heart of the jungle, surrounded by lush vegetation, lies one of the major sites of Mayan civilization, inhabited from the 6th century B.C. to the 10th century A.D. The ceremonial centre contains superb temples and palaces, and public squares accessed by means of ramps. Remains of dwellings are scattered throughout the surrounding countryside.",-88.38333333333334,17.216666666666665
Antigua Guatemala,http://whc.unesco.org/en/list/65,Guatemala,"Department of Sacatepéquez, Panchoy Valley",N14 34 0 W90 40 0,"Antigua, the capital of the Captaincy-General of Guatemala, was founded in the early 16th century. Built 1,500 m above sea-level, in an earthquake-prone region, it was largely destroyed by an earthquake in 1773 but its principal monuments are still preserved as ruins. In the space of under three centuries the city, which was built on a grid pattern inspired by the Italian Renaissance, acquired a number of superb monuments.",-89.33333333333333,14.566666666666666
Grand Canyon National Park,http://whc.unesco.org/en/list/75,United States of America,Counties of Coconino and Mohave in the State of Arizona,N36 6 3 W112 5 26,"Carved out by the Colorado River, the Grand Canyon (nearly 1,500 m deep) is the most spectacular gorge in the world. Located in the state of Arizona, it cuts across the Grand Canyon National Park. Its horizontal strata retrace the geological history of the past 2 billion years. There are also prehistoric traces of human adaptation to a particularly harsh environment.",-111.90944444444445,36.100833333333334
Mont-Saint-Michel and its Bay,http://whc.unesco.org/en/list/80,France,"Department of Manche, Region of Basse-Normandie",N48 38 8.016 W1 30 38.016,"Perched on a rocky islet in the midst of vast sandbanks exposed to powerful tides between Normandy and Brittany stand the 'Wonder of the West', a Gothic-style Benedictine abbey dedicated to the archangel St Michael, and the village that grew up in the shadow of its great walls. Built between the 11th and 16th centuries, the abbey is a technical and artistic ",-0.48944,48.63556
Independence Hall,http://whc.unesco.org/en/list/78,United States of America,"Philadelphia, Commonwealth of Pennsylvania",N39 56 55 W75 9 0,The Declaration of Independence (1776) and the Constitution of the United States (1787) were both signed in this building in Philadelphia. The universal principles of freedom and democracy set forth in these documents are of fundamental importance to American history and have also had a profound impact on law-makers around the world.,-74.85,39.94861111111111
Everglades National Park,http://whc.unesco.org/en/list/76,United States of America,"Southern tip of the Florida peninsula, along the Gulf of Mexico, State of Florida",N25 33 16 W80 59 47,"This site at the southern tip of Florida has been called 'a river of grass flowing imperceptibly from the hinterland into the sea'. The exceptional variety of its water habitats has made it a sanctuary for a large number of birds and reptiles, as well as for threatened species such as the manatee.",-79.00361111111111,25.554444444444446
Paphos,http://whc.unesco.org/en/list/79,Cyprus,District of Paphos,N34 45 29.988 E32 24 20.016,"Paphos has been inhabited since the Neolithic period. It was a centre of the cult of Aphrodite and of pre-Hellenic fertility deities. Aphrodite's legendary birthplace was on this island, where her temple was erected by the Myceneans in the 12th century B.C. The remains of villas, palaces, theatres, fortresses and tombs mean that the site is of exceptional architectural and historic value. The mosaics of Nea Paphos are among the most beautiful in the world.",32.40556,34.75833
Chartres Cathedral,http://whc.unesco.org/en/list/81,France,"Department of Eure-et-Loire, Centre Region",N48 26 51 E1 29 14,"Partly built starting in 1145, and then reconstructed over a 26-year period after the fire of 1194, Chartres Cathedral marks the high point of French Gothic art. The vast nave, in pure ogival style, the porches adorned with fine sculptures from the middle of the 12th century, and the magnificent 12th- and 13th-century stained-glass windows, all in remarkable condition, combine to make it a masterpiece.",1.4872222222222222,48.4475
Palace and Park of Versailles,http://whc.unesco.org/en/list/83,France,"Department of Yvelines,  Ile-de-France",N48 48 18 E2 7 10,"The Palace of Versailles was the principal residence of the French kings from the time of Louis XIV to Louis XVI. Embellished by several generations of architects, sculptors, decorators and landscape architects, it provided Europe with a model of the ideal royal residence for over a century.",2.1194444444444445,48.805
"Vézelay, Church and Hill",http://whc.unesco.org/en/list/84,France,"Department of Yonne, Bourgogne Region",N47 27 59 E3 44 54,"Shortly after its foundation in the 9th century, the Benedictine abbey of Vézelay acquired the relics of St Mary Magdalene and since then it has been an important place of pilgrimage. St Bernard preached the Second Crusade there in 1146 and Richard the Lion-Hearted and Philip II Augustus met there to leave for the Third Crusade in 1190. With its sculpted capitals and portal, the Madeleine of Vézelay – a 12th-century monastic church – is a masterpiece of Burgundian Romanesque art and architecture.",3.748333333333333,47.466388888888886
Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,http://whc.unesco.org/en/list/86,Egypt,Governorate of Giza,N29 58 33.744 E31 7 49.476,"The capital of the Old Kingdom of Egypt has some extraordinary funerary monuments, including rock tombs, ornate mastabas, temples and pyramids. In ancient times, the site was considered one of the Seven Wonders of the World.",31.13041,29.97604
Prehistoric Sites and Decorated Caves of the Vézère Valley,http://whc.unesco.org/en/list/85,France,"Communes of Les Eyzies de Tayac, Tursac, Montignac-sur-Vézère, Saint-Leon-sur-Vézère, Marquay, Manaurie-Rouffignac and Saint-Cirq-du Bugue, Department of the Dordogne, Region of Aquitaine",N45 3 27 E1 10 12,"The Vézère valley contains 147 prehistoric sites dating from the Palaeolithic and 25 decorated caves. It is particularly interesting from an ethnological and anthropological, as well as an aesthetic point of view because of its cave paintings, especially those of the Lascaux Cave, whose discovery in 1940 was of great importance for the history of prehistoric art. The hunting scenes show some 100 animal figures, which are remarkable for their detail, rich colours and lifelike quality.",1.17,45.0575
Ancient Thebes with its Necropolis,http://whc.unesco.org/en/list/87,Egypt,Governorate of Qina,N25 43 59.988 E32 36 0,"Thebes, the city of the god Amon, was the capital of Egypt during the period of the Middle and New Kingdoms. With the temples and palaces at Karnak and Luxor, and the necropolises of the Valley of the Kings and the Valley of the Queens, Thebes is a striking testimony to Egyptian civilization at its height.",32.6,25.73333
Nubian Monuments from Abu Simbel to Philae,http://whc.unesco.org/en/list/88,Egypt,Governorate of Aswan,N22 20 11.004 E31 37 33.996,"This outstanding archaeological area contains such magnificent monuments as the Temples of Ramses II at Abu Simbel and the Sanctuary of Isis at Philae, which were saved from the rising waters of the Nile thanks to the International Campaign launched by UNESCO, in 1960 to 1980.",31.62611,22.33639
Abu Mena,http://whc.unesco.org/en/list/90,Egypt,"Mariut desert, District of Burg al-Arab, Gouvernate of Al Iskandariyah (Alexandria)",N30 51 0 E29 40 0,"The church, baptistry, basilicas, public buildings, streets, monasteries, houses and workshops in this early Christian holy city were built over the tomb of the martyr Menas of Alexandria, who died in A.D. 296.",29.666666666666668,30.85
Historic Cairo,http://whc.unesco.org/en/list/89,Egypt,Governorate of al-Qahirah (Cairo),N30 3 0 E31 15 39.996,"Tucked away amid the modern urban area of Cairo lies one of the world's oldest Islamic cities, with its famous mosques, ",31.26111,30.05
Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci,http://whc.unesco.org/en/list/93,Italy,"Province of Milano, Lombardy",N45 27 57.2 E9 10 13.8,"The refectory of the Convent of Santa Maria delle Grazie forms an integral part of this architectural complex, begun in Milan in 1463 and reworked at the end of the 15th century by Bramante. On the north wall is ",9.1705,45.46588888888889
Rock Drawings in Valcamonica,http://whc.unesco.org/en/list/94,Italy,"Province of Brescia, Lombardy",N45 57 25.4 E10 17 50.4,"Valcamonica, situated in the Lombardy plain, has one of the world's greatest collections of prehistoric petroglyphs – more than 140,000 symbols and figures carved in the rock over a period of 8,000 years and depicting themes connected with agriculture, navigation, war and magic.",10.297333333333333,45.957055555555556
Old City of Dubrovnik,http://whc.unesco.org/en/list/95,Croatia,"County of Dubrovnik-Neretva, Adriatic Coast",N42 39 2.016 E18 5 29.004,"The 'Pearl of the Adriatic', situated on the Dalmatian coast, became an important Mediterranean sea power from the 13th century onwards. Although severely damaged by an earthquake in 1667, Dubrovnik managed to preserve its beautiful Gothic, Renaissance and Baroque churches, monasteries, palaces and fountains. Damaged again in the 1990s by armed conflict, it is now the focus of a major restoration programme co-ordinated by UNESCO.",18.09139,42.65056
Stari Ras and Sopoćani,http://whc.unesco.org/en/list/96,Serbia,"Vicinity of Novi Pazar, Raška District, Republic of Serbia",N43 7 8.004 E20 25 22.008,"On the outskirts of Stari Ras, the first capital of Serbia, there is an impressive group of medieval monuments consisting of fortresses, churches and monasteries. The monastery at Sopoćani is a reminder of the contacts between Western civilization and the Byzantine world.",20.42278,43.11889
Plitvice Lakes National Park,http://whc.unesco.org/en/list/98,Croatia,"County of Lika-Senj, 10km east of Bihac",N44 52 40.008 E15 36 51.984,"The waters flowing over the limestone and chalk have, over thousands of years, deposited travertine barriers, creating natural dams which in turn have created a series of beautiful lakes, caves and waterfalls. These geological processes continue today. The forests in the park are home to bears, wolves and many rare bird species.",15.61444,44.87778
Historical Complex of Split with the Palace of Diocletian,http://whc.unesco.org/en/list/97,Croatia,County of Split-Dalmatia,N43 30 33.984 E16 26 35.988,"The ruins of Diocletian's Palace, built between the late 3rd and the early 4th centuries A.D., can be found throughout the city. The cathedral was built in the Middle Ages, reusing materials from the ancient mausoleum. Twelfth- and 13th-century Romanesque churches, medieval fortifications, 15th-century Gothic palaces and other palaces in Renaissance and Baroque style make up the rest of the protected area.",16.44333,43.50944
Natural and Cultural Heritage of the Ohrid region,http://whc.unesco.org/en/list/99,the Former Yugoslav Republic of Macedonia,Ohrid (municipality),N41 7 5.016 E20 48 47.988,"Situated on the shores of Lake Ohrid, the town of Ohrid is one of the oldest human settlements in Europe. Built mainly between the 7th and 19th centuries, it has the oldest Slav monastery (St Pantelejmon) and more than 800 Byzantine-style icons dating from the 11th to the end of the 14th century. After those of the Tretiakov Gallery in Moscow, this is considered to be the most important collection of icons in the world",20.81333,41.11806
Durmitor National Park,http://whc.unesco.org/en/list/100,Montenegro,Republic of Montenegro,N43 7 58.8 E19 0 59.76,"This breathtaking national park was formed by glaciers and is traversed by rivers and underground streams. Along the Tara river canyon, which has the deepest gorges in Europe, the dense pine forests are interspersed with clear lakes and harbour a wide range of endemic flora.",19.0166,43.133
Al Qal'a of Beni Hammad,http://whc.unesco.org/en/list/102,Algeria,"Commune of Maadid ""Bechara"", Wilaya (province) of M'Sila",N35 49 6.384 E4 47 12.624,"In a mountainous site of extraordinary beauty, the ruins of the first capital of the Hammadid emirs, founded in 1007 and demolished in 1152, provide an authentic picture of a fortified Muslim city. The mosque, whose prayer room has 13 aisles with eight bays, is one of the largest in Algeria.",4.78684,35.81844
Tchogha Zanbil,http://whc.unesco.org/en/list/113,Iran (Islamic Republic of),Khuzestan,N32 4 59.88 E48 31 60,"The ruins of the holy city of the Kingdom of Elam, surrounded by three huge concentric walls, are found at Tchogha Zanbil. Founded c. 1250 B.C., the city remained unfinished after it was invaded by Ashurbanipal, as shown by the thousands of unused bricks left at the site.",48.53333333333333,32.0833
Persepolis,http://whc.unesco.org/en/list/114,Iran (Islamic Republic of),Fars,N29 56 3.984 E52 53 25.008,"Founded by Darius I in 518 B.C., Persepolis was the capital of the Achaemenid Empire. It was built on an immense half-artificial, half-natural terrace, where the king of kings created an impressive palace complex inspired by Mesopotamian models. The importance and quality of the monumental ruins make it a unique archaeological site.",52.89028,29.93444
"Meidan Emam, Esfahan",http://whc.unesco.org/en/list/115,Iran (Islamic Republic of),Esfahan,N32 39 26.82 E51 40 40,"Built by Shah Abbas I the Great at the beginning of the 17th century, and bordered on all sides by monumental buildings linked by a series of two-storeyed arcades, the site is known for the Royal Mosque, the Mosque of Sheykh Lotfollah, the magnificent Portico of Qaysariyyeh and the 15th-century Timurid palace. They are an impressive testimony to the level of social and cultural life in Persia during the Safavid era.",51.67777777777778,32.65745
Timbuktu,http://whc.unesco.org/en/list/119,Mali,Circle and Region of Tombouctou,N16 46 24 W2 59 58,Home of the prestigious Koranic Sankore University and other ,-1.0005555555555556,16.773333333333333
Sagarmatha National Park,http://whc.unesco.org/en/list/120,Nepal,Solu-Khumbu District of the Sagarmatha Zone,N27 57 55.008 E86 54 47.016,"Sagarmatha is an exceptional area with dramatic mountains, glaciers and deep valleys, dominated by Mount Everest, the highest peak in the world (8,848 m). Several rare species, such as the snow leopard and the lesser panda, are found in the park. The presence of the Sherpas, with their unique culture, adds further interest to this site.",86.91306,27.96528
Kathmandu Valley ,http://whc.unesco.org/en/list/121,Nepal,Kathmandu Valley,N27 42 14.22 E85 18 30.888,"The cultural heritage of the Kathmandu Valley is illustrated by seven groups of monuments and buildings which display the full range of historic and artistic achievements for which the Kathmandu Valley is world famous. The seven include the Durbar Squares of Hanuman Dhoka (Kathmandu), Patan and Bhaktapur, the Buddhist stupas of Swayambhu and Bauddhanath and the Hindu temples of Pashupati and Changu Narayan.",85.30858,27.70395
Historic Town of Ouro Preto,http://whc.unesco.org/en/list/124,Brazil,State of Minas Gerais,S20 23 20 W43 30 20,"Founded at the end of the 17th century, Ouro Preto (Black Gold) was the focal point of the gold rush and Brazil’s golden age in the 18th century. With the exhaustion of the gold mines in the 19th century, the city’s influence declined but many churches, bridges and fountains remain as a testimony to its past prosperity and the exceptional talent of the Baroque sculptor Aleijadinho.",-42.49444444444445,-19.61111111111111
